Dentist_Id,Crown_Count,Filling_Count,Root_Canal_Count,Extract_Count,Per_Visit_Payment
21,0,0,0,1,105
40,2,2,0,0,486.1
45,0,0,0,0,379.4
52,0,0,0,0,108
74,0,2,0,0,489.45
75,0,0,0,0,342.9
80,163,438,38,61,621.9238614
93,13,13,0,4,790.1178571
98,0,4,0,0,179.8
101,0,0,0,0,17.5
119,2,2,0,0,544.76
128,0,0,0,0,232
138,0,0,0,0,50
147,1,1,0,0,214.9
152,0,0,0,0,45
153,0,0,0,0,220
159,0,0,0,1,89
161,0,0,0,0,155
173,0,0,0,0,165.2
181,0,0,0,0,455.1
188,5,32,1,0,220.2767857
192,1,4,0,0,210.3466667
208,0,0,0,0,42.5
221,0,0,0,0,170
233,4,5,1,0,256.2294118
250,49,37,2,2,172.4682212
276,0,0,0,0,128
278,0,0,0,0,323.9
307,0,0,0,0,0
327,0,2,0,0,235.2
346,0,0,0,0,256.0833333
359,0,0,0,0,115.6
367,0,0,0,0,20
419,0,0,0,0,44.7
428,0,1,0,0,625.3677966
441,0,0,0,0,292.0666667
449,0,0,0,1,68
488,0,0,0,0,366
514,0,21,0,0,394.4615385
518,2,19,0,8,361.3555556
553,3,11,2,3,313.0529412
561,1,2,2,0,942.6666667
568,0,0,0,0,0
584,2,2,0,1,440.55
591,0,0,0,0,232
648,2,11,2,0,242.7697917
651,0,0,0,0,34.4
654,0,29,0,1,588.9794118
678,0,1,0,0,666.6666667
727,4,38,3,0,263.7172619
728,0,5,0,0,342.2765152
744,0,0,0,0,376.4
751,0,0,0,0,116.8666667
754,0,0,0,0,310.1333333
784,0,0,0,0,244
850,0,0,0,0,373.4928571
860,0,4,0,0,322.4
861,0,0,0,0,79.5
875,0,0,0,0,680
888,0,0,0,0,212.5
890,0,0,0,0,227.7
953,1,3,0,0,96.4
955,0,0,0,0,133.2777778
968,0,0,0,0,202.5
991,15,43,2,4,278.7
1018,1,3,0,0,733.6
1023,32,90,6,1,114.4140909
